date,vehicle_category,maker,electric_vehicles_sold
1/9/2021,2-Wheelers,OKINAWA,3321
1/9/2021,2-Wheelers,AMPERE,807
1/9/2021,2-Wheelers,ATHER,2174
1/9/2021,2-Wheelers,PURE EV,1337
1/9/2021,2-Wheelers,TVS,688
1/9/2021,2-Wheelers,REVOLT,499
1/9/2021,2-Wheelers,BAJAJ,381
1/9/2021,2-Wheelers,BEING,337
1/9/2021,2-Wheelers,JITENDRA,134
1/9/2021,2-Wheelers,OTHERS,1627
1/9/2022,2-Wheelers,OLA ELECTRIC,8065
1/9/2022,2-Wheelers,OKINAWA,8497
1/9/2022,2-Wheelers,HERO ELECTRIC,8208
1/9/2022,2-Wheelers,AMPERE,6488
1/9/2022,2-Wheelers,TVS,4001
1/9/2022,2-Wheelers,ATHER,6280
1/9/2022,2-Wheelers,BAJAJ,3649
1/9/2022,2-Wheelers,OKAYA EV,954
1/9/2022,2-Wheelers,REVOLT,865
1/9/2022,2-Wheelers,PURE EV,790
1/9/2022,2-Wheelers,BEING,975
1/9/2022,2-Wheelers,JITENDRA,661
1/9/2022,2-Wheelers,OTHERS,3849
1/9/2023,2-Wheelers,OLA ELECTRIC,18926
1/9/2023,2-Wheelers,TVS,15425
1/9/2023,2-Wheelers,ATHER,7107
1/9/2023,2-Wheelers,BAJAJ,7019
1/9/2023,2-Wheelers,AMPERE,4148
1/9/2023,2-Wheelers,OKINAWA,1769
1/9/2023,2-Wheelers,HERO ELECTRIC,835
1/9/2023,2-Wheelers,OKAYA EV,873
1/9/2023,2-Wheelers,BGAUSS,924
1/9/2023,2-Wheelers,BATTRE ELECTRIC,255
1/9/2023,2-Wheelers,KINETIC GREEN,231
1/9/2023,2-Wheelers,REVOLT,879
1/9/2023,2-Wheelers,OTHERS,5355
1/10/2021,2-Wheelers,HERO ELECTRIC,6799
1/10/2021,2-Wheelers,OKINAWA,4166
1/10/2021,2-Wheelers,AMPERE,1083
1/10/2021,2-Wheelers,ATHER,2647
1/10/2021,2-Wheelers,PURE EV,1400
1/10/2021,2-Wheelers,TVS,486
1/10/2021,2-Wheelers,REVOLT,900
1/10/2021,2-Wheelers,BAJAJ,754
1/10/2021,2-Wheelers,BEING,469
1/10/2021,2-Wheelers,JITENDRA,283
1/10/2021,2-Wheelers,OTHERS,1826
1/10/2022,2-Wheelers,OLA ELECTRIC,15391
1/10/2022,2-Wheelers,OKINAWA,14950
1/10/2022,2-Wheelers,HERO ELECTRIC,8868
1/10/2022,2-Wheelers,AMPERE,10113
1/10/2022,2-Wheelers,TVS,5820
1/10/2022,2-Wheelers,ATHER,7356
1/10/2022,2-Wheelers,BAJAJ,3549
1/10/2022,2-Wheelers,OKAYA EV,1968
1/10/2022,2-Wheelers,REVOLT,1041
1/10/2022,2-Wheelers,PURE EV,1047
1/10/2022,2-Wheelers,BEING,1422
1/10/2022,2-Wheelers,JITENDRA,1111
1/10/2022,2-Wheelers,OTHERS,4614
1/10/2023,2-Wheelers,OLA ELECTRIC,23968
1/10/2023,2-Wheelers,TVS,16309
1/10/2023,2-Wheelers,ATHER,8375
1/10/2023,2-Wheelers,BAJAJ,8960
1/10/2023,2-Wheelers,AMPERE,4487
1/10/2023,2-Wheelers,OKINAWA,1457
1/10/2023,2-Wheelers,HERO ELECTRIC,658
1/10/2023,2-Wheelers,OKAYA EV,863
1/10/2023,2-Wheelers,BGAUSS,1157
1/10/2023,2-Wheelers,BATTRE ELECTRIC,227
1/10/2023,2-Wheelers,KINETIC GREEN,389
1/10/2023,2-Wheelers,REVOLT,681
1/10/2023,2-Wheelers,OTHERS,7092
1/11/2021,2-Wheelers,HERO ELECTRIC,7493
1/11/2021,2-Wheelers,OKINAWA,5542
1/11/2021,2-Wheelers,AMPERE,2077
1/11/2021,2-Wheelers,ATHER,2202
1/11/2021,2-Wheelers,PURE EV,1688
1/11/2021,2-Wheelers,TVS,522
1/11/2021,2-Wheelers,REVOLT,780
1/11/2021,2-Wheelers,BAJAJ,728
1/11/2021,2-Wheelers,BEING,912
1/11/2021,2-Wheelers,JITENDRA,273
1/11/2021,2-Wheelers,OTHERS,2317
1/11/2022,2-Wheelers,OLA ELECTRIC,15797
1/11/2022,2-Wheelers,OKINAWA,9068
1/11/2022,2-Wheelers,HERO ELECTRIC,9026
1/11/2022,2-Wheelers,AMPERE,12446
1/11/2022,2-Wheelers,TVS,8147
1/11/2022,2-Wheelers,ATHER,7837
1/11/2022,2-Wheelers,BAJAJ,3057
1/11/2022,2-Wheelers,OKAYA EV,1783
1/11/2022,2-Wheelers,REVOLT,524
