date,vehicle_category,maker,electric_vehicles_sold
1/6/2023,4-Wheelers,Hyundai Motor,121
1/6/2023,4-Wheelers,PCA Automobiles,254
1/6/2023,4-Wheelers,BMW India,76
1/6/2023,4-Wheelers,Mercedes -Benz AG,14
1/6/2023,4-Wheelers,Volvo Auto India,33
1/6/2023,4-Wheelers,KIA Motors,30
1/7/2021,4-Wheelers,Tata Motors,696
1/7/2021,4-Wheelers,MG Motor,232
1/7/2021,4-Wheelers,Mahindra & Mahindra,171
1/7/2021,4-Wheelers,Hyundai Motor,18
1/7/2021,4-Wheelers,Mercedes -Benz AG,1
1/7/2022,4-Wheelers,Tata Motors,2264
1/7/2022,4-Wheelers,MG Motor,194
1/7/2022,4-Wheelers,Mahindra & Mahindra,866
1/7/2022,4-Wheelers,BYD India,32
1/7/2022,4-Wheelers,Hyundai Motor,45
1/7/2022,4-Wheelers,BMW India,4
1/7/2022,4-Wheelers,Mercedes -Benz AG,1
1/7/2023,4-Wheelers,Tata Motors,3823
1/7/2023,4-Wheelers,MG Motor,935
1/7/2023,4-Wheelers,Mahindra & Mahindra,2174
1/7/2023,4-Wheelers,BYD India,89
1/7/2023,4-Wheelers,Hyundai Motor,88
1/7/2023,4-Wheelers,PCA Automobiles,169
1/7/2023,4-Wheelers,BMW India,81
1/7/2023,4-Wheelers,Mercedes -Benz AG,23
1/7/2023,4-Wheelers,Volvo Auto India,26
1/7/2023,4-Wheelers,KIA Motors,22
1/8/2021,4-Wheelers,Tata Motors,584
1/8/2021,4-Wheelers,MG Motor,303
1/8/2021,4-Wheelers,Mahindra & Mahindra,204
1/8/2021,4-Wheelers,Hyundai Motor,10
1/8/2021,4-Wheelers,Mercedes -Benz AG,2
1/8/2022,4-Wheelers,Tata Motors,1931
1/8/2022,4-Wheelers,MG Motor,234
1/8/2022,4-Wheelers,Mahindra & Mahindra,1085
1/8/2022,4-Wheelers,BYD India,33
1/8/2022,4-Wheelers,Hyundai Motor,53
1/8/2022,4-Wheelers,BMW India,19
1/8/2022,4-Wheelers,Mercedes -Benz AG,3
1/8/2023,4-Wheelers,Tata Motors,3388
1/8/2023,4-Wheelers,MG Motor,913
1/8/2023,4-Wheelers,Mahindra & Mahindra,2013
1/8/2023,4-Wheelers,BYD India,80
1/8/2023,4-Wheelers,Hyundai Motor,141
1/8/2023,4-Wheelers,PCA Automobiles,89
1/8/2023,4-Wheelers,BMW India,64
1/8/2023,4-Wheelers,Mercedes -Benz AG,8
1/8/2023,4-Wheelers,Volvo Auto India,36
1/8/2023,4-Wheelers,KIA Motors,21
1/9/2021,4-Wheelers,Tata Motors,772
1/9/2021,4-Wheelers,MG Motor,263
1/9/2021,4-Wheelers,Mahindra & Mahindra,276
1/9/2021,4-Wheelers,Hyundai Motor,6
1/9/2021,4-Wheelers,Mercedes -Benz AG,2
1/9/2022,4-Wheelers,Tata Motors,1997
1/9/2022,4-Wheelers,MG Motor,207
1/9/2022,4-Wheelers,Mahindra & Mahindra,1213
1/9/2022,4-Wheelers,BYD India,48
1/9/2022,4-Wheelers,Hyundai Motor,57
1/9/2022,4-Wheelers,BMW India,21
1/9/2022,4-Wheelers,Mercedes -Benz AG,3
1/9/2023,4-Wheelers,Tata Motors,3126
1/9/2023,4-Wheelers,MG Motor,676
1/9/2023,4-Wheelers,Mahindra & Mahindra,1668
1/9/2023,4-Wheelers,BYD India,141
1/9/2023,4-Wheelers,Hyundai Motor,161
1/9/2023,4-Wheelers,PCA Automobiles,108
1/9/2023,4-Wheelers,BMW India,58
1/9/2023,4-Wheelers,Mercedes -Benz AG,41
1/9/2023,4-Wheelers,Volvo Auto India,42
1/9/2023,4-Wheelers,KIA Motors,26
1/10/2021,4-Wheelers,Tata Motors,803
1/10/2021,4-Wheelers,MG Motor,194
1/10/2021,4-Wheelers,Mahindra & Mahindra,369
1/10/2021,4-Wheelers,Hyundai Motor,8
1/10/2021,4-Wheelers,Mercedes -Benz AG,3
1/10/2022,4-Wheelers,Tata Motors,2395
1/10/2022,4-Wheelers,MG Motor,338
1/10/2022,4-Wheelers,Mahindra & Mahindra,1051
1/10/2022,4-Wheelers,BYD India,27
1/10/2022,4-Wheelers,Hyundai Motor,64
1/10/2022,4-Wheelers,BMW India,4
1/10/2022,4-Wheelers,Mercedes -Benz AG,4
1/10/2022,4-Wheelers,KIA Motors,29
1/10/2023,4-Wheelers,Tata Motors,3911
1/10/2023,4-Wheelers,MG Motor,714
1/10/2023,4-Wheelers,Mahindra & Mahindra,2027
1/10/2023,4-Wheelers,BYD India,109
1/10/2023,4-Wheelers,Hyundai Motor,148
1/10/2023,4-Wheelers,PCA Automobiles,132
1/10/2023,4-Wheelers,BMW India,71
1/10/2023,4-Wheelers,Mercedes -Benz AG,18
1/10/2023,4-Wheelers,Volvo Auto India,41
1/10/2023,4-Wheelers,KIA Motors,39
1/11/2021,4-Wheelers,Tata Motors,1036
